"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"astro-ph/0410313","Phil Arras","Phil Arras (NSF Aapf, Kitp) Dean Townsley (UCSB) Lars Bildsten (KITP,
  Ucsb)","Seismology of Accreting White Dwarfs","6 pages, 2 figures.To appear in The astrophysics of cataclysmic
  variables and related objects, ASP Conf. Ser.,eds. J.M. Hameury and J.P.
  Lasota",,,,"astro-ph",,"  Pulsation modes have recently been observed in a handful of white dwarf (WD)
primaries of cataclysmic variables, allowing an interesting new probe into the
structure of accreting WD's. We briefly discuss the seismology of these
objects, how stellar properties may be inferred from the observed mode
frequencies, and mode driving mechanisms. For one pulsator, GW Lib, we have
shown that a WD mass $M=1.05 M_\odot$ and accreted envelope mass $M_{\rm
env}=0.4\times 10^{-4} M_\odot$ give the best match to the observed pulsation
periods. A first exploration of mode driving favors $T_{\rm eff} = 14 000 K$
and a massive WD, but more work is necessary.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:55:56 GMT""}]","2007-05-23"
"astro-ph/0410314","Joel Hartman","J.D. Hartman, J. Kaluzny, A. Szentgyorgyi & K.Z. Stanek","BVI Photometric Variability Survey of M3","35 pages, 11 figures. Movies associated with this paper at
  http://www-cfa.harvard.edu/~jhartman/M3_movies.html Accepted for publication
  in the Astronomical Journal. This replacement contains a few minor revisions","Astron.J. 129 (2005) 1596","10.1086/427252",,"astro-ph",,"  We have conducted a three band (BVI) variability survey of the globular
cluster M3. This is the first three band survey of the cluster using modern
image subtraction techniques. Observations were made over 9 nights in 1998 on
the 1.2m telescope at the F.L. Whipple Observatory in Arizona. We present
photometry for 180 variable stars in the M3 field, of which 12 are newly
discovered. New discoveries include six SX Phe type variables which all lie in
the blue straggler region of the color magnitude diagram, two new first
overtone RR Lyrae, a candidate multi-mode RR Lyrae, a detached eclipsing
binary, and two unclassified variables. We also provide revised periods for 52
of the 168 previously known variables that we observe. The catalog and
photometry for the variable stars are available via anonymous ftp at
ftp://cfa-ftp.harvard.edu/pub/kstanek/M3/
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:11:24 GMT""},{""version"":""v2"",""created"":""Wed, 3 Nov 2004 19:47:48 GMT""}]","2009-11-10"
"astro-ph/0410315","Jordi Miralda-Escude","Jordi Miralda-Escude (Ohio State University)","On the Importance of Local Sources of Radiation in Cosmological
  Absorption Systems","submitted to ApJL","Astrophys.J. 620 (2005) L91-L94","10.1086/428773",,"astro-ph",,"  An upper limit to the importance of local sources of radiation compared to
the cosmic background in cosmological absorption systems is derived, as a
simple consequence of the conservation of surface brightness. The limit depends
only on the rate of incidence of the absorbers and the mean free path of the
radiation. It is found that, on average, the ionizing radiation intensity from
local sources in Lyman limit systems at z>2 must be less than half of the
intensity of the cosmic background. In absorbers with column densities much
lower than Lyman limit systems, the local source contribution must be
negligible. The limit on the ratio of local source to background intensities is
then applied to the class of damped Lya absorption systems with detectable
excited CII lines. A cooling rate of the gas in these systems has been measured
by Wolfe et al., who assumed that the balancing heating source is photoelectric
heating on dust by light at ~ 1500 A . The intensity from local star formation
at this wavelength in this class of damped Lya systems is found to be at most ~
3 times the background intensity. If the heating source is indeed photoelectric
heating of dust, the background created by sources associated with damped Lya
systems can then be estimated from the average cooling rates measured in the
absorbers. Current results yield a background intensity higher than previous
estimates based on observed galaxy and quasar luminosity functions, although
with a large uncertainty. The possibility of other sources of heating, such as
shock-heating in a turbulent medium, should be explored.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:22:18 GMT""}]","2009-11-10"
"astro-ph/0410316","Martin Houde","Martin Houde","Evaluating the Magnetic Field Strength in Molecular Clouds","10 pages, 1 figure, accepted for publication in the ApJ Letters","Astrophys.J. 616 (2004) L111-L114","10.1086/426684",,"astro-ph",,"  We discuss an extension to the Chandrasekhar-Fermi method for the evaluation
of the mean magnetic field strength in molecular clouds to cases where the
spatial orientation of the field is known. We apply the results to M17, using
previously published data.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:24:25 GMT""}]","2009-11-10"
"astro-ph/0410317","David H. Cohen","David H. Cohen, Margaret M. Hanson, Richard H. D. Townsend, Karen S.
  Bjorkman, and Marc Gagn\'e","Diagnostics of Disks Around Hot Stars","14 pages with 8 b/w, grayscale figures. To appear in ""The Nature and
  Evolution of Disks Around Hot Stars"" ASP Conf. Series, eds. R. Ignace & K.
  Gayley. A pdf version also available directly from
  http://astro.swarthmore.edu/~cohen/Papers/Cohen_ETSU_diagfocus.pdf",,,,"astro-ph",,"  We discuss three different observational diagnostics related to disks around
hot stars: absorption line determinations of rotational velocities of Be stars;
polarization diagnostics of circumstellar disks; and X-ray line diagnostics of
one specific magnetized hot star, $\theta^1$ Ori C. Some common themes that
emerge from these studies include (a) the benefits of having a specific
physical model as a framework for interpreting diagnostic data; (b) the
importance of combining several different types of observational diagnostics of
the same objects; and (c) that while there is often the need to reinterpret
traditional diagnostics in light of new theoretical advances, there are many
new and powerful diagnostics that are, or will soon be, available for the study
of disks around hot stars.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:25:53 GMT""}]","2007-05-23"
"astro-ph/0410318","Jung-Kyu Lee","J.-K. Lee, W.R.J. Rolleston, P.L. Dufton, R.S.I. Ryan","Chemical compositions of Four B-type Supergiants in the SMC Wing","11 pages, 2 figues, A&A accepted","Astron.Astrophys. 429 (2005) 1025-1030","10.1051/0004-6361:20041345",,"astro-ph",,"  High-resolution UCLES/AAT spectra of four B-type supergiants in the SMC South
East Wing have been analysed using non-LTE model atmosphere techniques to
determine their atmospheric parameters and chemical compositions. The principle
aim of this analysis was to determine whether the very low metal abundances
($-$1.1 dex compared with Galactic value) previously found in the Magellanic
Inter Cloud region (ICR) were also present in SMC Wing. The chemical
compositions of the four targets are similar to those found in other SMC
objects and appear to be incompatible with those deduced previously for the
ICR. Given the close proximity of the Wing to the ICR, this is difficult to
understand and some possible explanations are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:28:59 GMT""}]","2009-11-10"
"astro-ph/0410319","Piotr Popowski","P. Popowski, K. Griest, C.L. Thomas, K.H. Cook, D.P. Bennett, A.C.
  Becker, D.R. Alves, D. Minniti, A.J. Drake, C. Alcock, R.A. Allsman, T.S.
  Axelrod, K.C. Freeman, M. Geha, M.J. Lehner, S.L. Marshall, C.A. Nelson, B.A.
  Peterson, P.J. Quinn, C.W. Stubbs, W. Sutherland, T. Vandehei, D. Welch (The
  MACHO Collaboration)","Microlensing Optical Depth towards the Galactic Bulge Using Clump Giants
  from the MACHO Survey","42 pages, 15 figures (6 of them in color), 12 tables; results
  unchanged, discussion of blending strengthened including addition of new
  appendix; to be published in ApJ, Vol. 630, Sept. 10, 2005 issue","Astrophys.J. 631 (2005) 879-905","10.1086/432246",,"astro-ph",,"  Using 7 years of MACHO survey data, we present a new determination of the
optical depth to microlensing towards the Galactic bulge. We select the sample
of 62 microlensing events (60 unique) on clump giant sources and perform a
detailed efficiency analysis. We use only the clump giant sources because these
are bright bulge stars and are not as strongly affected by blending as other
events. Using a subsample of 42 clump events concentrated in just 4.5 square
degrees, we find tau = 2.17^{+0.47}_{-0.38} x 10^{-6} at (l,b) = (1.50, -2.68),
somewhat smaller than found in most previous MACHO studies, but in excellent
agreement with recent theoretical predictions. We also present the optical
depth in each of the 19 fields in which we detected events, and find limits on
optical depth for fields with no events. The errors in optical depth in
individual fields are dominated by Poisson noise. We measure optical depth
gradients (1.06 +/- 0.71) x 10^{-6} deg^{-1} and (0.29 +/- 0.43) x 10^{-6}
deg^{-1} in the galactic latitude b and longitude l directions, respectively.
Finally, we discuss the possibility of anomalous duration distribution of
events in the field 104 centered on (l,b) = (3.11, -3.01) as well as
investigate spatial clustering of events in all fields.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:33:46 GMT""},{""version"":""v2"",""created"":""Fri, 29 Jul 2005 15:58:02 GMT""}]","2009-11-10"
"astro-ph/0410320","Gary D. Schmidt","Gary D. Schmidt, Paula Szkody, Lee Homer, Paul S. Smith, Bing Chen,
  Arne Henden, Jan-Erik Solheim, Michael A. Wolfe, and Robert Greimel","Unravelling the Puzzle of the Eclipsing Polar SDSSJ 015543.40+002807.2
  with XMM and Optical Photometry/Spectropolarimetry","20 pages, 12 figures","Astrophys.J. 620 (2005) 422-431","10.1086/426807",,"astro-ph",,"  The cataclysmic variable SDSSJ 015543.40+002807.2 is confirmed to be a
magnetic system of the AM Herculis type. With an orbital period of 87.13 min,
it is also the shortest-period eclipsing Polar known. Monitoring with
XMM-Newton finds a high-state light curve dominated by a single X-ray emitting
accretion pole located slightly prograde of the secondary star. The hard X-ray
spectrum is typical of radial shocks on magnetic white dwarfs (kT ~ 10keV), and
there is evidence for a soft X-ray component consistent with reprocessing from
the stellar surface. The optical circular polarization is weak (v < 3%) when
the accretion rate is high (mV ~ 15.5), due to optically-thick cyclotron
emission and the apparent competition between two accreting poles. However, in
low states (mV ~ 18), the polarization increases smoothly to the blue, reaching
20% at 4200A, and the flux spectrum displays a rich set of thermally-broadened
cyclotron harmonics that indicate a polar field of 29MG. The phase interval
preceding the 6.5 min eclipse depicts the development of P-Cygni components
followed by complete absorption reversals in the emission lines. This
phenomenon is not unexpected for a strongly accreting magnetic system viewed
through the cool base of the funnel, and high-quality spectroscopy through this
interval will likely lead to new insights into the dynamics of magnetic
coupling and gas flow onto the white dwarf.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:52:02 GMT""}]","2009-11-10"
"astro-ph/0410321","Joseph C. Shields","Joseph C. Shields (1), Hans-Walter Rix (2), Marc Sarzi (3), Aaron J.
  Barth (4), Alexei V. Filippenko (5), Luis C. Ho (6), Daniel H. McIntosh (7),
  Gregory Rudnick (8), Wallace L. W. Sargent (9), ((1) Ohio U., (2)
  MPIA-Heidelberg, (3) U. Hertfordshire, (4) UC-Irvine, (5) UC-Berkeley, (6)
  OCIW, (7) U. Mass., (8) NOAO, (9) Caltech)","The Survey of Nearby Nuclei with STIS (SUNNS):Emission-Line Nuclei at
  Hubble Space Telescope Resolution","28 pages, 7 figures, revised version accepted by ApJ","Astrophys.J.654:125-137,2006","10.1086/509059",,"astro-ph",,"  We present results from a program of optical spectroscopy for 23 nearby
galaxy emission-line nuclei. This investigation takes advantage of the spatial
resolution of the Hubble Space Telescope to study the structure and energetics
of the central 10 - 20 pc, and the resulting data have value for quantifying
central black hole masses, star formation histories, and nebular properties.
This paper provides a description of the experimental design, and new findings
from the study of emission lines. The sample targets span a range of nebular
spectroscopic class, from HII to Seyfert nuclei. The line ratios indicative of
nebular ionization show only modest variations over order-of-magnitude
differences in radius, and demonstrate in a systematic way that geometrical
dilution of the radiation field from a central source cannot be assumed as a
primary driver of ionization structure. Comparisons between large- and
small-aperture measurements for the HII/LINER transition objects provide a new
test that challenges conventional wisdom concerning the composite nature of
these systems. We also list a number of other quantitative results that are of
interest for understanding galaxy nuclei, including (1) the spatial
distribution/degree of concentration of H-alpha emission as a function of
nebular type; (2) the radial variation in electron density as a function of
nebular type; and (3) quantitative broad H-alpha estimates obtained at a second
epoch for these low-luminosity nuclei. The resulting measurements provide a new
basis for comparing the nuclei of other galaxies with that of the Milky Way. We
find that the Galactic Center is representative across a wide span of
properties as a low-luminosity emission-line nucleus.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 22:27:22 GMT""},{""version"":""v2"",""created"":""Wed, 20 Sep 2006 02:32:42 GMT""}]","2008-11-26"
"astro-ph/0410322","Edward A. Baltz","Edward A. Baltz","Microlensing Surveys of M31 in the Wide Field Imaging Era","10 pages, 4 figures, 2 tables","Astrophys.J. 624 (2005) 168-177","10.1086/428751",,"astro-ph",,"  The Andromeda Galaxy (M31) is the closest large galaxy to the Milky Way, thus
it is an important laboratory for studying massive dark objects in galactic
halos (MACHOs) by gravitational microlensing. Such studies strongly complement
the studies of the Milky Way halo using the the Large and Small Magellanic
Clouds. We consider the possibilities for microlensing surveys of M31 using the
next generation of wide field imaging telescopes with fields of view in the
square degree range. We consider proposals for such imagers both on the ground
and in space. For concreteness, we specialize to the SNAP proposal for a space
telescope and the LSST proposal for a ground based telescope. We find that a
modest space-based survey of 50 visits of one hour each is considerably better
than current ground based surveys covering 5 years. Crucially, systematic
effects can be considerably better controlled with a space telescope because of
both the infrared sensitivity and the angular resolution. To be competitive, 8
meter class wide-field ground based imagers must take exposures of several
hundred seconds with several day cadence.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 22:51:30 GMT""}]","2009-11-10"
