"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"astro-ph/0412558","Masayoshi Yokosawa","M. Yokosawa, S. Uematsu and J. Abe","Hot, Dense Matter Accretion onto a Black Hole","15pages",,,,"astro-ph",,"  The accretion of hot, dense matter which consists of heavy nuclei, free
nucleons, degenerated electrons, photons and neutrinos is studied. The
composition of free nucleons and their chemical potentials are provided through
the equation of state for hot, dense matter proposed by Lattimer and
Swesty(1991). When the mass of a central black hole and the accretion rate are
selected as $M_{BH} \approx 3{\rm M}_\odot$ and $\dot{M} \approx 0.1{\rm
M}_\odot$sec$^{-1}$, which provide the typical luminosity of gamma ray
bursts(GRBs), the fraction of free protons in the accreting matter becomes very
small, $Y_p \approx 10^{-4}$, while that of free neutrons is closer to unity,
$Y_n \approx 0.7$. Then the antielectron neutrinos $\bar{\nu}_e$ can freely
escape through the disk but the electron neutrinos $\nu_e$ are almost absorbed
in the disk. Thus the frequent collisions of $\bar{\nu}_e$ with $\nu_e$ over
the disk couldn't be occurred. The accretion disk is cooled mainly by
$\bar{\nu}_e$, which suppresses the increase of temperature and increases the
density in the accreting matter such as $T \approx 3\times 10^{10}$K and $\rho
\approx 3\times 10^{13}$g/cm$^3$ at the inner side of the disk. The scattering
optical depths of $\bar{\nu}_e$ and $\nu_e$ then reach to be very large,
$\tau_s(\bar{\nu}_e) \approx \tau_s({\nu}_e) \approx 10^2$. Thus the accretion
disk could be thermally unstable within the duration of diffusion time of
neutrinos, $t_{diff} \approx 10$(ms).
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:20:22 GMT""}]","2007-05-23"
"astro-ph/0412559","Manabu Ishida","Kei Itoh, Manabu Ishida and Hideyo Kunieda","Density Diagnostics of the Hot Plasma in AE Aquarii with XMM-Newton","14 pages, 4 figures, Submitted to the Astrophysical Journal Letters,
  for associated pdf file, http://www-x.phys.metro-u.ac.jp/~ishida/ms.pdf",,,,"astro-ph",,"  High resolution spectroscopy of AE Aquarii with the XMM-Newton RGS has
enabled us to measure the electron number density of the X-ray-emitting hot
plasma to be ~1E11/cm**-3 by means of intensity ratios of the He-like triplet
of Nitrogen and Oxygen. Incorporating with the emission measure evaluated by
the EPIC cameras, we have also found a linear scale of the plasma to be ~5E10
cm. Both these values, obtained model-independently, are incompatible with a
standard post-shock accretion column of a magnetized white dwarf, but are
naturally interpreted as the plasma being formed through interaction between an
accretion flow and the magnetosphere of the white dwarf. Our results provide
another piece of evidence of the magnetic propeller effect being at work in AE
Aqr.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 12:41:38 GMT""}]","2007-05-23"
"astro-ph/0412560","Nataly Tyurina V.","A.V.Zasov, A.M.Cherepashchuk and L.N.Petrochenko","Super-Massive Black Holes and Dark Halos","ARep, in press",,"10.1134/1.1923545",,"astro-ph",,"  The relations between masses of Super-Massive Black Holes, Mbh, in galactic
nuclei, maximal rotational velocities, Vm, and indicative masses, Mi, of
galaxies are studied for galaxies with the available rotation curves. Mbh
correlates with both Vm and Mi, although much weaker than with the central
velocity dispersion S0. Masses Mbh for early-type galaxies (S0-Sab), which
usually possess more luminous bulges, are, on average, larger than those for
late-type galaxies with similar velocities of rotation. It enables to conclude
that masses of black holes are determined mainly by the bulge properties, and -
much weaker - by dark haloes of galaxies.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 12:59:04 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jan 2005 12:37:44 GMT""}]","2009-11-10"
"astro-ph/0412561","Katsuya Okoshi","Katsuya Okoshi and Masahiro Nagashima","Damped Lyman alpha Absorbing Galaxies At Low Redshifts z<1 From
  Hierarchical Galaxy Formation Models","21 pages, 13 figures, Accepted for publication in Astrophsical
  Journal","Astrophys.J. 623 (2005) 99-111","10.1086/428425",,"astro-ph",,"  We investigate Damped Ly-alpha absorbing galaxies (DLA galaxies) at low
redshifts z<1 in the hierarchical structure formation scenario to clarify the
nature of DLA galaxies because observational data of such galaxies mainly at
low redshifts are currently available. We find that our model well reproduces
distributions of fundamental properties of DLA galaxies such as luminosities,
column densities, impact parameters obtained by optical and near-infrared
imagings. Our results suggest that DLA systems primarily consist of low
luminosity galaxies with small impact parameters (typical radius about 3 kpc,
surface brightness from 22 to 27 mag arcsec^{-2}) similar to low surface
brightness (LSB) galaxies. In addition, we investigate selection biases arising
from the faintness and from the masking effect which prevents us from
identifying a DLA galaxy hidden or contaminated by a point spread function of a
background quasar. We find that the latter affects the distributions of DLA
properties more seriously rather than the former, and that the observational
data are well reproduced only when taking into account the masking effect. The
missing rate of DLA galaxies by the masking effect attains 60-90 % in the
sample at redshift 0<z<1 when an angular size limit is as small as 1 arcsec.
Furthermore we find a tight correlation between HI mass and cross section of
DLA galaxies, and also find that HI-rich galaxies with M(HI) \sim 10^{9} M_sun
dominate DLA systems. These features are entirely consistent with those from
the Arecibo Dual-Beam Survey which is a blind 21 cm survey. Finally we discuss
star formation rates, and find that they are typically about 10^{-2} M_sun
yr^{-1} as low as those in LSB galaxies.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:17:24 GMT""}]","2009-11-10"
"astro-ph/0412562","Sergei Popov B.","S.B. Popov, M.E. Prokhorov (Sternberg Astronomical Institute)","Trans-sonic propeller stage","8 pages with figures, submitted to Astron. Astroph. Transactions",,"10.1080/10556790500085504",,"astro-ph",,"  We follow the approach used by Davies and Pringle (1981) and discuss the
trans-sonic substage of the propeller regime. This substage is intermediate
between the supersonic and subsonic propeller substages. In the trans-sonic
regime an envelope around a magnetosphere of a neutron star passes through a
kind of a reorganization process. The envelope in this regime consists of two
parts. In the bottom one turbulent motions are subsonic. Then at some distance
$r_\mathrm{s}$ the turbulent velocity becomes equal to the sound velocity.
During this substage the boundary $r_\mathrm{s}$ propagates outwards till it
reaches the outer boundary, and so the subsonic regime starts.
  We found that the trans-sonic substage is unstable, so the transition between
supersonic and subsonic substages proceeds on the dynamical time scale. For
realistic parameters this time is in the range from weeks to years.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:20:47 GMT""}]","2015-06-24"
"astro-ph/0412563","Francisco Colomer","G. Giovannini (1), M. Giroletti (1,2), G. B. Taylor (3) ((1) Istituto
  di Radioastronomia, CNR/INAF, Italy; (2) Dipartimento di Astronomia,
  Universita di Bologna, Italy; (3) National Radio Astronomy Observatory,
  Socorro, USA)","The two sided parsec scale structure of the Low Luminosity Active
  Galactic Nucleus in NGC 4278","4 pages. 5 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 81-84. Needs evn2004.cls","Astrophys.J. 622 (2005) 178-186",,"EVN04-O-81","astro-ph",,"  We present new Very Long Baseline Interferometry observations of the LINER
galaxy NGC 4278 with a linear resolution of < 0.1 pc. Our radio data reveal a
two sided structure, with symmetric S-shaped jets emerging from a flat spectrum
core. By comparing the positions of the components in two epochs, we measure
motions corresponding to apparent velocities < 0.2 c, and to ages in the range
8.3 - 65.8 years. From our measurements, we derive that NGC 4278 has mildly
relativistic jets (beta aprox 0.75), closely aligned to the line-of-sight (2
deg < theta < 4 deg). We also present a flux density history for the source
with data between 1972 and 2003. All these arguments indicates that the low
power radio emission from NGC 4278 is emitted via the synchrotron process by
relativistic particles accelerated by a supermassive black hole.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:27:13 GMT""}]","2007-05-23"
"astro-ph/0412564","Enno Middelberg","E. Middelberg, A. L Roy, R. C. Walker and H. Falcke","VLBI observations of weak sources using fast frequency switching","Accepted by A&A, 14 pages, 12 figures, needs aa.cls, aas_macros.sty
  and amsmath.sty, replaced due reformatting",,"10.1051/0004-6361:20042078",,"astro-ph",,"  We have developed a new phase referencing technique for high frequency VLBI
observations. In conventional phase referencing, one interleaves short scans on
a nearby phase calibrator between the target source observations. In fast
frequency switching described here, one observes the target source continuously
while switching rapidly between the target frequency and a lower reference
frequency. We demonstrate that the technique allows phase calibration almost
reaching the thermal noise limit and present the first detection of the AGN in
the FR I radio galaxy NGC 4261 at 86 GHz. Although point-like, this is the
weakest source ever detected with VLBI at this frequency.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:55:24 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 2004 21:24:31 GMT""}]","2009-11-10"
"astro-ph/0412565","Alexander Knebe","Alexander Knebe (Astrophysikalisches Institut Potsdam)","How to simulate the Universe in a Computer","8 pages, 4 figures, accepted for publication in PASA (refereed
  proceedings contribution for the meeting ""Gravity 2004"" held in Sydney, April
  15-16, 2004)",,"10.1071/AS04059",,"astro-ph",,"  In this contribution a broad overview of the methodologies of cosmological
N-body simulations and a short introduction explaining the general idea behind
such simulations is presented. After explaining how to set up the initial
conditions using a set of N particles two (diverse) techniques are presented
for evolving these particles forward in time under the influence of their
self-gravity. One technique (tree codes) is solely based upon a sophistication
of the direct particle-particle summation whereas the other method relies on
the continuous (de-)construction of arbitrarily shaped grids and is realized in
adaptive mesh refinement codes.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:21:12 GMT""}]","2009-11-10"
"cond-mat/0412500","Michael Dennin","Michael Twardos and Michael Dennin","Comparison between step strains and slow steady shear in a bubble raft",,"Phys Rev E 71, 061402 (2005)","10.1103/PhysRevE.71.061401",,"cond-mat.soft cond-mat.stat-mech",,"  We report on a comparison between stress relaxations after an applied step
strain and stress relaxations during slow, continuous strain in a bubble raft.
A bubble raft serves as a model two-dimensional foam and consists of a single
layer of bubbles on a water surface. For both step strains and continuous
strain, one observes periods of stress increase and decrease. Our focus is on
the distribution of stress decreases, or stress drops. The work is motivated by
apparent disagreements between quasistatic simulations of flowing foam and
simulations of continuous strain for foam. Quasistatic simulations have
reported larger average stress drops than the continuous strain case. Also,
there is evidence in quasistatic simulations for a general divergence of the
average size of the stress drops that only appears to occur in steady strain
near special values of the foam density. In this work, applied step strains are
used as an approximation to quasistatic simulations. We find general agreement
in the dependence of the average stress drop on rate of strain, but we do not
observe evidence for a divergence of the average stress drop.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:13:51 GMT""}]","2007-05-23"
"cond-mat/0412519","Supriyo Bandyopadhyay","S. Bandyopadhyay","When it comes to spintronics, there may be some room in the middle","This paper contains excerpts from a talk to be presented at the
  Second International Symposium on System Construction of Global Network
  Oriented Information Electronics, Japan",,,,"cond-mat.mes-hall cond-mat.dis-nn",,"  Spintronic devices that utilize the spin degree of freedom of a charge
carrier to store, process or transmit information, may be better performers
than their traditional electronic counterparts if special properties of ""spin""
are exploited in the design. I review here the example of ""single spin logic""
which follows this principle. It can reduce power dissipation by several orders
of magnitude and is the progenitor of today's spin based quantum logic gates.
These devices are far easier to realize than ""quantum computers"", while much
more likely to exhibit the advantages touted for spintronics than mere
spin-based analogs of conventional transistors.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:58:04 GMT""},{""version"":""v2"",""created"":""Mon, 20 Dec 2004 21:05:19 GMT""}]","2007-05-23"
"cond-mat/0412526","Lisa Borland","Lisa Borland","A multi-time scale non-Gaussian model of stock returns","Comment added pertaining to volatility autocorrelation, clarifying
  approximation used in calculation",,,,"cond-mat.other q-fin.ST",,"  We propose a stochastic process for stock movements that, with just one
source of Brownian noise, has an instantaneous volatility that rises from a
type of statistical feedback across many time scales. This results in a
stationary non-Gaussian process which captures many features observed in time
series of real stock returns. These include volatility clustering, a kurtosis
which decreases slowly over time together with a close to log-normal
distribution of instantaneous volatility. We calculate the rate of decay of
volatility-volatility correlations, which depends on the strength of the memory
in the system and fits well to empirical observations.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:33:13 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 2004 20:57:22 GMT""},{""version"":""v3"",""created"":""Mon, 24 Jan 2005 04:38:49 GMT""}]","2008-12-02"
"cond-mat/0412541","J. Dzubiella","J. Dzubiella and J. A. McCammon","Substrate concentration dependence of the diffusion-controlled
  steady-state rate constant","7 pages, 3 figures",,"10.1063/1.1887165",,"cond-mat.soft cond-mat.stat-mech",,"  The Smoluchowski approach to diffusion-controlled reactions is generalized to
interacting substrate particles by including the osmotic pressure and
hydrodynamic interactions of the nonideal particles in the Smoluchoswki
equation within a local-density approximation. By solving the strictly
linearized equation for the time-independent case with absorbing boundary
conditions, we present an analytic expression for the diffusion-limited
steady-state rate constant for small substrate concentrations in terms of an
effective second virial coefficient B_2*. Comparisons to Brownian dynamics
simulations excluding HI show excellent agreement up to bulk number densities
of B_2* rho_0 < 0.4 for hard sphere and repulsive Yukawa-like interactions
between the substrates. Our study provides an alternative way to determine the
second virial coefficient of interacting macromolecules experimentally by
measuring their steady-state rate constant in diffusion-controlled reactions at
low densities.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:38:30 GMT""}]","2009-11-10"
"cond-mat/0412542","Luis Gregorio Dias da Silva","Luis G. Dias da Silva, Nelson Studart","Exchange interaction effects in the thermodynamic properties of quantum
  dots","4 pages, 4 figures; To appear in Phys. Rev. B","Phys. Rev. B 71 113302 (2005).","10.1103/PhysRevB.71.113302",,"cond-mat.mes-hall",,"  We study electron-electron interaction effects in the thermodynamic
properties of quantum-dot systems. We obtain the direct and exchange
contributions to the specific heat C_v in the self-consistent Hartree-Fock
approximation at finite temperatures. An exchange-induced phase transition is
observed and the transition temperature is shown to be inversely proportional
to the size of the system. The exchange contribution to C_v dominates over the
direct and kinetic contributions in the intermediate regime of interaction
strength (r_s ~ 1). Furthermore, the electron-electron interaction modifies
both the amplitude and the period of magnetic field induced oscillations in
C_v.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:05:03 GMT""}]","2009-01-23"
"cond-mat/0412543","Marcos Rigol Madrazo","Marcos Rigol and Alejandro Muramatsu","Numerical simulations of strongly correlated fermions confined in 1D
  optical lattices","17 pages, 11 figures. Published in a special issue on Ultracold Atoms
  and Degenerate Quantum Gases","Opt. Commun. 243, 33 (2004)","10.1016/j.optcom.2004.10.040",,"cond-mat.str-el cond-mat.stat-mech",,"  On the basis of quantum Monte Carlo (QMC) simulations we study the formation
of Mott domains in the one-dimensional Hubbard model with an additional
confining potential. We find evidences of quantum critical behavior at the
boundaries of the Mott-insulating regions. A local compressibility defined to
characterize the local phases exhibits a non-trivial critical exponent on
entering the Mott-insulating domains. Both the local compressibility and the
variance of the local density show universality with respect to the confining
potential. We also study the momentum distribution function of the trapped
system, and determine its phase diagram.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:09:09 GMT""}]","2007-05-23"
"cond-mat/0412544","Stefan Rotter","S. Rotter, U. Kuhl, F. Libisch, J. Burgdoerfer, and H.-J. Stoeckmann","Fano resonances and decoherence in transport through quantum dots","9 pages, 7 figures, submitted to Physica E (conference proceedings)","Physica E 29, 325 (2005).","10.1016/j.physe.2005.05.030",,"cond-mat.mes-hall",,"  A tunable microwave scattering device is presented which allows the
controlled variation of Fano line shape parameters in transmission through
quantum billiards. We observe a non-monotonic evolution of resonance parameters
that is explained in terms of interacting resonances. The dissipation of
radiation in the cavity walls leads to decoherence and thus to a modification
of the Fano profile. We show that the imaginary part of the complex Fano
q-parameter allows to determine the absorption constant of the cavity. Our
theoretical results demonstrate further that the two decohering mechanisms,
dephasing and dissipation, are equivalent in terms of their effect on the
evolution of Fano resonance lineshapes.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:11:37 GMT""}]","2007-05-23"
"cond-mat/0412545","Krzysztof Malarz","M.J.Krawczyk, K.Malarz, B.Kawecka-Magiera, A.Z.Maksymowicz,
  K.Kulakowski (AGH-UST)","Spin glass properties of an Ising antiferromagnet on the Archimedean
  (3,12^2) lattice","5 pages, 8 figures in 12 files, revtex4","Phys. Rev. B72 (2005) 024445","10.1103/PhysRevB.72.024445",,"cond-mat.stat-mech",,"  We investigate magnetic properties of a two-dimensional periodic structure
with Ising spins and antiferromagnetic nearest neighbor interaction. The
structure is topologically equivalent to the Archimedean (3,12^2) lattice. The
ground state energy is degenerate. In some ground states, the spin structure is
translationally invariant, with the same configuration in each unit cell.
Numerical results are reported on specific heat and static magnetic
usceptibility against temperature. Both quantities show maxima at temperature
T>0. They reveal some sensitivity on the initial state in temperatures where
the Edwards--Anderson order parameter is positive. For zero temperature and low
frequency of the applied field, the magnetic losses are negligible. However,
the magnetization curve displays some erratic behavior due to the metastable
states.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:35:41 GMT""}]","2007-05-23"
"cond-mat/0412546","Yurij Semenov","Y. G. Semenov, H. Enaya, and K. W. Kim","Bistability in a magnetic and nonmagnetic double-quantum-well structure
  mediated by the magnetic phase transition","9 pages, 3 figures",,"10.1063/1.1864237",,"cond-mat.other cond-mat.mtrl-sci",,"  The hole distribution in a double quantum well (QW) structure consisting of a
magnetic and a nonmagnetic semiconductor QW is investigated as a function of
temperature, the energy shift between the QWs, and other relevant parameters.
When the itinerant holes mediate the ferromagnetic ordering, it is shown that a
bistable state can be formed through hole redistribution, resulting in a
significant change in the properties of the constituting magnetic QW (i.e., the
paramagnetic-ferromagnetic transition). The model calculation also indicates a
large window in the system parameter space where the bistability is possible.
Hence, this structure could form the basis of a stable memory element that may
be scaled down to a few hole regime.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 18:57:27 GMT""}]","2009-11-10"
"cond-mat/0412547","Frederic van Wijland","Vivien Lecomte, Zoltan Racz, Frederic van Wijland","Energy flux distribution in a two-temperature Ising model","19 pages, 4 figures","J. Stat. Mech. (2005) P02008","10.1088/1742-5468/2005/02/P02008",,"cond-mat.stat-mech",,"  The nonequilibrium steady state of an infinite-range Ising model is studied.
The steady state is obtained by dividing the spins into two groups and
attaching them to two heat baths generating spin flips at different
temperatures. In the thermodynamic limit, the resulting dynamics can be solved
exactly, and the probability flow in the phase space can be visualized. We can
calculate the steady state fluctuations far from equilibrium and, in
particular, we find the exact probability distribution of the energy current in
both the high- and low-temperature phase.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:39:58 GMT""}]","2011-11-29"
"cond-mat/0412548","Puru Gujrati","P. D. Gujrati","Complexity Thermodynamics, Equiprobability Principle, Percolation, and
  Goldstein's Conjectures","14 pages; no figure",,,"UATP/04-04","cond-mat.stat-mech cond-mat.mtrl-sci",,"  The configurational states as introduced by Goldstein represent the system's
basins and are characterized by their free energies $\varphi(T,V)$ as we show
here. We find that the energies of some of the special points (termed basin
identifiers here) like the basin minima, maxima, lowest energy barriers, etc.
cannot be used to characterize the configurational states of the system in all
cases due to their possible non-monotonic behavior as we explain. The
complexity $\mathcal{S(}\varphi,T,V\mathcal{)},$ represents the configurational
state entropy. We prove that $S(T,V) \equiv S(\varphi_b,T,V) + S_b(T,V)$, where
$S_{\text{b}},$ and $\varphi_{\text{b}}$ are the basin entropy and free energy,
respectively. We further prove that all basins at equilibrium have the same
equilibrium basin energy $E(T,V)$ and entropy $S_{\text{b}% }(T,V).$ Here,
$\varphi$\ and $E$ are measured with respect to the zero of the potential
energy. The Boltzmann equiprobability principle is shown to apply to the basins
in that each equilibrium basin has an equal probability
$\mathcal{P=}\exp(-\mathcal{S})$ to be explored. This principle allow us to
draw some useful conclusions about the time-dependence in the system. We
discuss the percolation due to basin connectivity and its relevance for the
dynamic transition. Our analysis validates modified Goldstein's conjectures.
All the above results are shown to be valid at all temperatures, and not just
low temperatures as originally propsed by Goldstein.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:32:14 GMT""}]","2007-05-23"
"cond-mat/0412549","Joachim Brand","Joachim Brand and Andrey R. Kolovsky","Emergence of superfluid transport in a dynamical system of ultracold
  atoms",,"Eur. Phys. J. D (2006)","10.1140/epjd/e2006-00226-8",,"cond-mat.other",,"  The dynamics of a Bose-Einstein condensate is studied theoretically in a
combined periodic plus harmonic external potential. Different dynamical regimes
of stable and unstable collective dipole and Bloch oscillations are analysed in
terms of a quantum mechanical pendulum model. Nonlinear interactions are shown
to counteract quantum-mechanical dephasing and lead to phase-coherent,
superfluid transport.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 02:40:16 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jan 2006 11:14:22 GMT""},{""version"":""v3"",""created"":""Fri, 21 Apr 2006 16:46:49 GMT""}]","2007-05-23"
"cond-mat/0412550","B. A. Bernevig","B. Andrei Bernevig and Shou-Cheng Zhang","Intrinsic Spin-Hall Effect in n-Doped Bulk GaAs","4 pages",,,,"cond-mat.mtrl-sci cond-mat.other",,"  We show that the bulk Dresselhauss ($k^3$) spin-orbit coupling term leads to
an intrinsic spin-Hall effect in n-doped bulk GaAs, but without the appearance
of uniform magnetization. The spin-Hall effect in strained and unstrained bulk
GaAs has been recently observed experimentally by Kato {\emph{et. al.}}
\cite{kato2004A}. We show that the experimental result is quantitatively
consistent with the intrinsic spin-Hall effect due to the Dresselhauss term,
when lifetime broadening is taken into account. On the other hand, extrinsic
contribution to the spin-Hall effect is several orders of magnitude smaller
than the observed effect.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 21:04:02 GMT""}]","2007-05-23"
"cond-mat/0412551","Tomasz Klimczuk","T. Klimczuk, M. Avdeev, J. D. Jorgensen and R.J. Cava","The effect of {11}^B substitution on the superconductivity in MgCNi3","Submitted to Phys. Rev. B","Physical Review B vol. 71 (2005), 184512","10.1103/PhysRevB.71.184512",,"cond-mat.supr-con",,"  The crystal structure of boron doped superconducting
MgC_{1-x}{11}^B_{x}Ni_{3}, studied by powder neutron diffraction, is reported.
The solubility limit of boron is determined to be approximately x=0.16. The
unit cell expands from a = 3.81089(2) to 3.81966(2) Angstroms as x increases
from x=0 to x=0.155. Boron ({11}^B) doping decreases Tc with increasing x: from
7.09K (x=0) to 6.44K (x=0.155).
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 22:50:02 GMT""}]","2009-11-10"
"cond-mat/0412552","Juan Ignacio Climente","Josep Planelles and Juan I. Climente","Far-infrared absorption of self-assembled semiconductor rings","7 pages, 7 figures, to be published in Collection of Czechoslovak
  Chemical Communications",,,,"cond-mat.mes-hall",,"  We report a theoretical description of far-infrared spectroscopy experiments
on self-assembled quantum rings in a magnetic field [A. Lorke et al., Phys.
Rev. Lett. 84, 2223 (2000)] which, for the first time, accounts for the full
set of experimental resonances. In our calculations we use a 3D effective-mass
model with a realistic finite step-like confinement potential, including strain
and Coulomb effects. We assume a bimodal distribution of ring sizes.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 07:57:59 GMT""}]","2007-05-23"
"cond-mat/0412554","Klaus Capelle","P. E. G. Assis, Valter L. Libero and K. Capelle","Impurity and boundary effects in one and two-dimensional inhomogeneous
  Heisenberg antiferromagnets","4 pages, 4 figures, accepted by Phys. Rev. B","Phys. Rev. B 71, 052402 (2005)","10.1103/PhysRevB.71.052402",,"cond-mat.str-el cond-mat.mtrl-sci cond-mat.stat-mech",,"  We calculate the ground-state energy of one and two-dimensional spatially
inhomogeneous antiferromagnetic Heisenberg models for spins 1/2, 1, 3/2 and 2.
Our calculations become possible as a consequence of the recent formulation of
density-functional theory for Heisenberg models. The method is similar to
spin-density-functional theory, but employs a local-density-type approximation
designed specifically for the Heisenberg model, allowing us to explore
parameter regimes that are hard to access by traditional methods, and to
consider complications that are important specifically for nanomagnetic
devices, such as the effects of impurities, finite-size, and boundary geometry,
in chains, ladders, and higher-dimensional systems.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 23:25:14 GMT""}]","2009-11-10"
"cond-mat/0412555","Iliya Karlin","S. Ansumali, I. V. Karlin, C. E. Frouzakis, K. B. Boulouchos","Entropic lattice Boltzmann method for microflows","18 pages, 2 figures","Physica A 359, 289-305 (2006)","10.1016/j.physa.2005.04.039",,"cond-mat.stat-mech",,"  A new method for the computation of flows at the micrometer scale is
presented. It is based on the recently introduced minimal entropic kinetic
models. Both the thermal and isothermal families of minimal models are
presented, and the simplest isothermal entropic lattice Bhatnagar-Gross-Krook
(ELBGK) is studied in detail in order to quantify its relevance for microflow
simulations. ELBGK is equipped with boundary conditions which are derived from
molecular models (diffusive wall). A map of three-dimensional kinetic equations
onto two-dimensional models is established which enables two-dimensional
simulations of quasi-two-dimensional flows. The ELBGK model is studied
extensively in the simulation of the two-dimensional Poiseuille channel flow.
Results are compared to known analytical and numerical studies of this flow in
the setting of the Bhatnagar-Gross-Krook model. The ELBGK is in quantitative
agreement with analytical results in the domain of weak rarefaction
(characterized by Knudsen number Kn, the ratio of mean free path to the
hydrodynamic scale), up to Kn=0.01, which is the domain of many practical
microflows. Moreover, the results qualitatively agree throughout the entire
Knudsen number range, demonstrating Knudsen's minimum for the mass flow rate at
moderate values of Kn, as well as the logarithmic scaling at large Kn. The
present results indicate that ELBM can complement or even replace
computationally expensive microscopic simulation techniques such as kinetic
Monte Carlo and/or molecular dynamics for low Mach and low Knudsen number
hydrodynamics pertinent to microflows.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 23:46:33 GMT""}]","2007-05-23"
"cond-mat/0412556","Olexei Motrunich","Olexei I. Motrunich","Variational study of triangular lattice spin-1/2 model with ring
  exchanges and spin liquid state in \kappa-(ET)_2 Cu_2 (CN)_3","7 pages, 5 figures","Phys. Rev. B 72, 045105 (2005)","10.1103/PhysRevB.72.045105",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We study triangular lattice spin-1/2 system with antiferromagnetic Heisenberg
and ring exchanges using variational approach focusing on possible realization
of spin liquid states. Trial spin liquid wave functions are obtained by
Gutzwiller projection of fermionic mean field states and their energetics is
compared against magnetically ordered trial states. We find that in a range of
the ring exchange coupling upon destroying the antiferromagnetic order, the
best such spin liquid state is essentially a Gutzwiller-projected Fermi sea
state. We propose this spin liquid with spinon Fermi surface as a candidate for
the nonmagnetic insulating phase observed in the organic compound \kappa-(ET)_2
Cu_2 (CN)_3, and describe some experimental consequences of this proposal.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 03:01:48 GMT""}]","2009-11-10"
