"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"astro-ph/0409170","Peter Hoeflich","P. Hoeflich","Signatures of Explosion Models for SN ~Ia & Cosmology","6 pages + 7 figures, in: Supernovae as Cosmological Lighthouses
  Padua, June 16- 19, eds. Turatto et al., ASP Conference Series",,,,"astro-ph",,"  We give an overview of the current understanding of Type Ia supernovae
relevant for their use as cosmological distance indicators. We present the
physical basis to understand their homogeneity of the observed light curves and
spectra and the observed correlations. SNe Ia have been well established as
distance indicators on the 10 % level. However, the quest for the nature of the
dark energy requires improvements in the accuracy to the 2 to 3 % level, we
must understand the diversity within the SNe Ia population, and its evolution
with redshift. Based on detailed models for the progenitors, explosions, light
curves and spectra, we discuss signatures of thermonuclear explosions, and the
implications for cosmology. We emphasize the relation between LC properties and
spectra because, for local SNe~Ia, the diversity becomes apparent the
combination of spectra and LCs whereas, by enlarge, we have to for high-z
objects. At some examples, we show how we can actually probe the properties of
the progenitor, its environment, and details of the explosion physics.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:57:13 GMT""}]","2007-05-23"
"astro-ph/0409171","Jasonjot Singh Kalirai","Jasonjot Singh Kalirai (UBC), Harvey B. Richer (UBC), David Reitzel
  (UCLA), Brad M. S. Hansen (UCLA), R. Michael Rich (UCLA), Gregory G. Fahlman
  (NRC/HIA), Brad K. Gibson (Swinburne), and Ted von Hippel (UTexas)","The Initial-Final Mass Relationship: Spectroscopy of White Dwarfs in NGC
  2099 (M37)","5 pages including 3 figures and 1 table, accepted in ApJ Letters.
  Minor additions to content and typos corrected","Astrophys.J. 618 (2004) L123-L128",,,"astro-ph",,"  We present new observations of very faint white dwarfs (WDs) in the rich open
star cluster NGC 2099 (M37). Following deep, wide field imaging of the cluster
using CFHT, we have now obtained spectroscopic observations of candidate WDs
using both GMOS on Gemini and LRIS on Keck. Of our 24 WD candidates (all
fainter than V = 22.4), 21 are spectroscopically confirmed to be bona fide WDs,
4-5 of which are most likely field objects. Fitting 18 of the 21 WD spectra
with model atmospheres, we find that most WDs in this cluster are quite massive
(0.7-0.9 Msun), as expected given the cluster's young age (650 Myr) and, hence,
high turnoff mass (~2.4 Msun). We determine a new initial-final mass
relationship and almost double the number of existing data points from previous
studies. The results indicate that stars with initial masses between 2.8 and
3.4 Msun lose 70-75% of their mass through stellar evolution. For the first
time, we find some evidence of a metallicity dependence on the initial-final
mass relationship.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:04:35 GMT""},{""version"":""v2"",""created"":""Mon, 22 Nov 2004 23:31:56 GMT""},{""version"":""v3"",""created"":""Tue, 7 Dec 2004 03:33:55 GMT""}]","2007-05-23"
"astro-ph/0409172","Jasonjot Singh Kalirai","Jasonjot Singh Kalirai (UBC), Harvey B. Richer (UBC), Brad M. S.
  Hansen (UCLA), David Reitzel (UCLA), and R. Michael Rich (UCLA)","The Dearth of Massive, Helium-Rich White Dwarfs in Young Open Star
  Clusters","4 pages including 1 figure and 1 table, accepted in ApJ Letters.
  References added and discussion expanded in Section 5","Astrophys.J. 618 (2004) L129-L132",,,"astro-ph",,"  Spectra have been obtained of 21 white dwarfs (WDs) in the direction of the
young, rich open star cluster NGC 2099. This represents an appreciable fraction
(>30%) of the cluster's total WD population. The mean derived mass of the
sample is 0.8 Msun - about 0.2 Msun larger than the mean seen among field WDs.
A surprising result is that all of the NGC 2099 WDs have hydrogen-rich
atmospheres (DAs) and none exhibit helium-rich ones (DBs), or any other
spectral class. The number ratio in the field at the temperatures of the NGC
2099 WDs is DA/DB ~ 3.5. While the probability of seeing no DB WDs in NGC 2099
solely by chance is ~2%, if we include WDs in other open clusters of similar
age it then becomes highly unlikely that the dearth of DB WDs in young open
clusters is just a statistical fluctuation. We explore possible reasons for the
lack of DBs in these clusters and conclude that the most promising scenario for
the DA/DB number ratio discrepancy in young clusters is that hot, high-mass WDs
do not develop large enough helium convection zones to allow helium to be
brought to the surface and turn a hydrogen-rich WD into a helium-rich one.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:11:17 GMT""},{""version"":""v2"",""created"":""Mon, 22 Nov 2004 23:42:21 GMT""},{""version"":""v3"",""created"":""Tue, 7 Dec 2004 03:38:07 GMT""}]","2007-05-23"
"astro-ph/0409173","Ilian Iliev","Paul R. Shapiro (University of Texas-Austin), Ilian T. Iliev (Canadian
  Institute for Theoretical Astrophysics), Hugo Martel (Universite Laval),
  Kyungjin Ahn (University of Texas-Austin) and Marcelo A. Alvarez (University
  of Texas-Austin)","The Equilibrium Structure of CDM Halos","invited article to appear in Progress in Dark Matter Research (Nova
  Science Publishers, Inc), 76 pages, 50 figures",,,,"astro-ph",,"  Dark-matter halos are the scaffolding around which galaxies and clusters are
built. They form when the gravitational instability of primordial density
fluctuations causes regions which are denser than average to slow their cosmic
expansion, recollapse, and virialize. Understanding the equilibrium structure
of these halos is thus a prerequisite for understanding galaxy and cluster
formation. Numerical N-body simulations of structure formation from
Gaussian-random-noise initial conditions in the CDM universe find a universal
internal structure for halos. Objects as different in size and mass as dwarf
spheroidal galaxies and galaxy clusters are predicted to have halos with the
same basic structure when properly rescaled, independent of halo mass, of the
shape of the power spectrum of primordial density fluctuations, and of the
cosmological background parameters. This remarkable universality is a
fundamental prediction of the CDM model, but our knowledge is limited to the
``empirical'' N-body simulation results, with little analytical understanding.
We summarize here our attempts to fill this gap, in an effort to derive and
give physical insight to the numerical results and extend them beyond the range
of numerical simulation: (1) Simulated halos which form from highly simplified
initial conditions involving gravitational instability in a cosmological
pancake show that many of the universal properties of CDM halos are generic to
cosmological gravitational collapse and do not require Gaussian-random-noise
density fluctuations or hierarchical clustering. (2) A fluid approximation
derived from the Boltzmann equation yields an analytical theory of halo
dynamics which can explain many of the N-body results ... (abridged)
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:30:46 GMT""}]","2007-05-23"
"astro-ph/0409174","Jeremy D. Schnittman","Jeremy D. Schnittman","Spin-Orbit Resonance and the Evolution of Compact Binary Systems","19 pages, 10 figures, submitted to Phys. Rev. D","Phys.Rev. D70 (2004) 124020","10.1103/PhysRevD.70.124020",,"astro-ph gr-qc",,"  Starting with a post-Newtonian description of compact binary systems, we
derive a set of equations that describes the evolution of the orbital angular
momentum and both spin vectors during inspiral. We find regions of phase space
that exhibit resonance behavior, characterized by small librations of the spin
vectors around a fixed orientation. Due to the loss of energy and orbital
angular momentum through radiation reaction, systems can eventually be captured
into these resonance orientations. By investigating the long-term evolution of
compact binaries with a variety of initial conditions, we find that the
distribution in parameter space can be strongly affected by resonance captures.
This has the effect of significantly reducing the size of search space for
gravitational wave sources, in turn improving the chances of detecting such
sources through methods of template matching. Furthermore, by calculating the
expected spin distribution at the end of the inspiral phase, we can predict
what are the most likely initial conditions for the plunge phase, a result of
great interest for numerical relativity calculations.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:44:31 GMT""}]","2009-11-10"
"astro-ph/0409175","Dylan Menzies","D. Menzies and G. J. Mathews","Peculiar Velocity and Deaberration of the Sky","8 pages, 1 figure, v4 accepted by ApJ","Astrophys.J. 624 (2005) 7-9","10.1086/428936",,"astro-ph",,"  Recent studies have found the earth's peculiar velocity to be significant in
microwave background based tests for compact cosmic topology, and modifications
to these tests have been proposed. Tests of non-gaussianity, weak lensing
analysis and new tests using improved CMB data will also be sensitive to
peculiar velocity. We propose here to simplify matters by showing how to
construct a deaberrated CMB map to which any test requiring a Hubble flow
viewpoint can be applied without further complication. In a similar manner
deaberration can also be applied to object surveys used for example in
topological searches and matter distribution analysis. In particular we have
produced a revised list of objects with z > 1.0 using the NASA/IPAC
Extragalactic Database.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:13:11 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 2004 17:57:51 GMT""},{""version"":""v3"",""created"":""Tue, 11 Jan 2005 16:24:49 GMT""},{""version"":""v4"",""created"":""Tue, 18 Jan 2005 21:39:33 GMT""}]","2009-11-10"
"astro-ph/0409176","Bulent Uyaniker","B. Uyaniker, W. Reich, A. Yar-Uyaniker, E. Fuerst","Radio emission from the Cygnus Loop and its spectral characteristics","22 pages, 13 figures in jpeg format, accepted for publication in
  Astrophysics & Astronomy","Astron.Astrophys. 426 (2004) 909-924","10.1051/0004-6361:200400040",,"astro-ph",,"  We present a new sensitive 2675 MHz radio continuum map of the Cygnus Loop,
which is used in conjunction with 408 MHz, 863 MHz and 1420 MHz maps from both
the Effelsberg 100-m telescope and the DRAO Synthesis Telescope for a spectral
analysis. Between 408 MHz and 2675 MHz we find an overall integrated spectral
index of $\rm \alpha = -0.42 \pm 0.06$ ($S \sim \nu^{\alpha}$), close to
previous results. There is no indication of a spectral break in the integrated
spectrum. Spatially highly varying and rather strong spectral curvature was
previously reported, but is not confirmed on the basis of new, higher
sensitivity observations. We found spectral variations across the Cygnus Loop
reaching up to $\Delta\alpha = 0.2$ from a TT-plot analysis. The flattest
spectra are seen towards enhanced emission areas. Spectral index maps produced
between different frequency pairs, as well as all four maps, revealed that
there are at least three flat spectrum regions. In regions interior to the high
emission filaments, we have detected at least two spectral components across
the whole object with $\alpha=-0.4$ and $\alpha=-0.6$ towards northern and
southern parts of the object, respectively.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 22:49:58 GMT""}]","2009-11-10"
"astro-ph/0409177","Eric Tittley","Eric R. Tittley (1 and 2) and Mark Henriksen (1) ((1) Joint Center for
  Astrophysics, UMBC and (2) Institute for Astronomy, University of Edinburgh)","Cluster mergers, core oscillations, and cold fronts","Submitted to ApJ. 11 pages, 9 figures","Astrophys.J.618:227-236,2004","10.1086/425952",,"astro-ph",,"  We use numerical simulations with hydrodynamics to demonstrate that a class
of cold fronts in galaxy clusters can be attributed to oscillations of the dark
matter distribution. The oscillations are initiated by the off-axis passage of
a low-mass substructure. From the simulations, we derive three observable
morphological features indicative of oscillations: 1) The existence of
compressed isophotes; 2) The regions of compression must be alternate (opposite
and staggered) and lie on an axis passing through the center of the cluster; 3)
The gradient of each compression region must pass through the center of the
cluster. Four of six clusters reported in the literature to have cold fronts
have morphologies consistent with the presence of oscillations. The clusters
with oscillations are A496, A1795, A2142, and RX J1720.1+2638. Galaxy clusters
A2256 and A3667 are not consistent so the cold fronts are interpreted as group
remnants. The oscillations may be able to provide sufficient energy to solve
the cooling-flow problem and, importantly, provide it over an extended
duration.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 03:30:52 GMT""}]","2014-10-13"
"astro-ph/0409178","Adam J. Burgasser","Adam J. Burgasser, J. Davy Kirkpatrick, & Sebastien Lepine","Ultracool Subdwarfs: Metal-poor Stars and Brown Dwarfs Extending into
  the Late-type M, L and T Dwarf Regimes","v2. updated Figure 6",,,,"astro-ph",,"  Recent discoveries from red optical proper motion and wide-field
near-infrared surveys have uncovered a new population of ultracool subdwarfs --
metal-poor stars and brown dwarfs extending into the late-type M, L and
possibly T spectral classes. These objects are among the first low-mass stars
and brown dwarfs formed in the Galaxy, and are valuable tracers of metallicity
effects in low-temperature atmospheres. Here we review the spectral,
photometric, and kinematic properties of recent discoveries. We also examine L
subdwarf classification, and discuss how a large, complete sample of substellar
halo subdwarfs could probe the star formation history of the Galaxy's
Population II. We conclude by outlining a roadmap for future work to more
thoroughly explore this old and very low-mass population.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 04:12:41 GMT""},{""version"":""v2"",""created"":""Fri, 10 Sep 2004 00:06:14 GMT""}]","2007-05-23"
"astro-ph/0409179","Adam J. Burgasser","Adam J. Burgasser","Discovery of a Second L Subdwarf in the Two Micron All Sky Survey","11 pages, 3 figures, accepted for publication ApJ Letters, v. 614
  October 2004","Astrophys.J. 614 (2004) L73","10.1086/425418",,"astro-ph",,"  I report the discovery of the second L subdwarf identified in the Two Micron
All Sky Survey, 2MASS J16262034+3925190. This high proper motion object (mu =
1.27+/-0.03 ""/yr) exhibits near-infrared spectral features indicative of a
subsolar metallicity L dwarf, including strong metal hydride and H2O absorption
bands, pressure-broadened alkali lines, and blue near-infrared colors caused by
enhanced collision-induced H2 absorption. This object is of later type than any
of the known M subdwarfs, but does not appear to be as cool as the apparently
late-type sdL 2MASS 0532+8246. The radial velocity (Vrad = -260+/-35 km/s) and
estimated tangential velocity (Vtan ~ 90-210 km/s) of 2MASS 1626+3925 indicate
membership in the Galactic halo, and this source is likely near or below the
hydrogen burning minimum mass for a metal-poor star. L subdwarfs such as 2MASS
1626+3925 are useful probes of gas and condensate chemistry in low-temperature
stellar and brown dwarf atmospheres, but more examples are needed to study
these objects as a population as well as to define a rigorous classification
scheme.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 04:36:48 GMT""}]","2009-11-10"
"astro-ph/0409180","Carole Jackson","C A Jackson","Deep Radio Continuum Studies with the SKA: Evolution of Radio AGN
  Populations","8 pages, 2 figures (b/w only, full colour available at
  http://www.atnf.csiro.au/~cjackson . To to appear in ""Science with the Square
  Kilometre Array"" eds. C. Carilli and S. Rawlings, New Astronomy Reviews
  (Elsevier: Amsterdam)","New Astron.Rev. 48 (2004) 1187-1193","10.1016/j.newar.2004.09.023",,"astro-ph",,"  Radio emission is insensitive to dust obscuration, and the breadth of the
radio luminosity function ensures that sources are detected over a wide range
of redshifts at all radio flux densities. As a result, radio continuum
observations are an efficient and unbiased probe of both nuclear (AGN) and
star-forming activity over all cosmic epochs.
  The SKA's ``ultra-deep radio continuum surveys'' will provide the answers to
at least three key astrophysical questions: (i) the star-formation history of
the Universe, (ii) the evolution of the low-power end of the radio galaxy
luminosity function and (iii) the relationship between the radio-loud AGN,
star-formation and radio-quiet AGN phenomena.
  In this paper we discuss the AGN science that will be enabled by the deep
radio continuum studies using the SKA. It is important to recognise that the
sub-microJy SKA sky will be dominated by populations other than `radio-loud'
AGN. In this way the SKA will not only provide an unbiased tracer of the
star-formation history of the Universe but also be able to study the
populations of sources we currently describe as `radio-quiet'. To illustrate
this point we present simulations of the extragalactic radio sky based from
models of the evolution of the radio luminosity function. From these
simulations we predict typical source distributions and estimate the natural
confusion limit to ultra-faint flux density limits relevant to the science and
design goals of the SKA.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 06:33:29 GMT""}]","2009-11-10"
